"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32867","✅ Almacenamiento Masivo (datos válidos)","📦 Test Almacenamiento Masivo","Thu Oct 16 15:59:43 CST 2025","passed","Thu Oct 16 16:00:16 CST 2025","","","",""
"","8366","❌ Mover RAN - Alerta por QR inválido","📦 Test de Mover RAN","Thu Oct 16 15:52:44 CST 2025","passed","Thu Oct 16 15:52:53 CST 2025","","","",""
"","30648","✅ Flujo Tracking ventanilla para tracking #15","📦 Tracking ventanilla","Thu Oct 16 15:50:01 CST 2025","passed","Thu Oct 16 15:50:32 CST 2025","","","",""
"","9884","❌ Tracking item inválido","📦 Tracking ventanilla","Thu Oct 16 15:50:32 CST 2025","passed","Thu Oct 16 15:50:42 CST 2025","","","",""
"","38833","✅ Almacenamiento stringer (datos válidos)","📦 Test Almacenamiento stringer","Thu Oct 16 15:58:07 CST 2025","broken","Thu Oct 16 15:58:46 CST 2025","","","",""
"","23129","❌ Alm Mixed - Mostrar alerta al usar un QR inválido","📦 Test Almacenamiento Mixed","Thu Oct 16 15:57:26 CST 2025","passed","Thu Oct 16 15:57:49 CST 2025","","","",""
"","19439","❌ Alm masivo - Mostrar alerta al usar un QR inválido","📦 Test Almacenamiento Masivo","Thu Oct 16 16:00:49 CST 2025","passed","Thu Oct 16 16:01:09 CST 2025","","","",""
"","22487","❌ Alm Stringer - Alerta por ubicación inválida","📦 Test Almacenamiento stringer","Thu Oct 16 15:58:46 CST 2025","passed","Thu Oct 16 15:59:09 CST 2025","","","",""
"","33770","❌ Alm masivo - Mostrar alerta por ubicación inválida","📦 Test Almacenamiento Masivo","Thu Oct 16 16:00:16 CST 2025","passed","Thu Oct 16 16:00:49 CST 2025","","","",""
"","34011","❌ Alm Mixed - Mostrar alerta por ubicación inválida","📦 Test Almacenamiento Mixed","Thu Oct 16 15:56:52 CST 2025","passed","Thu Oct 16 15:57:26 CST 2025","","","",""
"","27844","✅ Flujo de cierre de ASN para QR: [>|p65715el000|q10|v003435|s13659806|aR1010002|<]","📦 Cierre de ASN","Thu Oct 16 15:51:02 CST 2025","passed","Thu Oct 16 15:51:30 CST 2025","","","",""
"","29119","❌ Mostrar alerta por ubicación inválida","📦 Test Almacenamiento crítico","Thu Oct 16 15:53:56 CST 2025","passed","Thu Oct 16 15:54:25 CST 2025","","","",""
"","13","✅ Mover RAN a 3 y 4 (datos válidos)","📦 Test de Mover RAN","Thu Oct 16 15:51:49 CST 2025","failed","Thu Oct 16 15:51:49 CST 2025","","","",""
"","30112","✅ Almacenamiento Mixed (datos válidos)","📦 Test Almacenamiento Mixed","Thu Oct 16 15:56:21 CST 2025","passed","Thu Oct 16 15:56:52 CST 2025","","","",""
"","33450","✅ Mover RAN a 1 y 2 (datos válidos)","📦 Test de Mover RAN","Thu Oct 16 15:51:49 CST 2025","passed","Thu Oct 16 15:52:22 CST 2025","","","",""
"","21229","❌ Alm Normal - Mostrar alerta al usar un QR inválido","📦 Test Almacenamiento Normal","Thu Oct 16 15:55:41 CST 2025","broken","Thu Oct 16 15:56:02 CST 2025","","","",""
"","23252","❌ Alm Normal - Mostrar alerta por ubicación inválida","📦 Test Almacenamiento Normal","Thu Oct 16 15:55:18 CST 2025","passed","Thu Oct 16 15:55:41 CST 2025","","","",""
"","13806","❌ Alm Stringer - Alerta por QR inválido","📦 Test Almacenamiento stringer","Thu Oct 16 15:59:09 CST 2025","passed","Thu Oct 16 15:59:22 CST 2025","","","",""
"","22060","❌ Mover RAN - Alerta por ubicación inválida","📦 Test de Mover RAN","Thu Oct 16 15:52:22 CST 2025","failed","Thu Oct 16 15:52:44 CST 2025","","","",""
"","44125","✅ Almacenar un registro como crítico en línea (datos válidos)","📦 Test Almacenamiento crítico","Thu Oct 16 15:53:11 CST 2025","passed","Thu Oct 16 15:53:56 CST 2025","","","",""
"","9577","❌ Mostrar alerta al usar un QR inválido","📦 Test Almacenamiento crítico","Thu Oct 16 15:54:25 CST 2025","passed","Thu Oct 16 15:54:34 CST 2025","","","",""
"","25109","✅ Almacenamiento Normal (datos válidos)","📦 Test Almacenamiento Normal","Thu Oct 16 15:54:53 CST 2025","passed","Thu Oct 16 15:55:18 CST 2025","","","",""
